alice-lake,1.9,1.0,3.2,1.0,3.1,2.0,1.0,2.0,0.0,0.0,0.0,0.0
alice-olson,1.1,1.0,1.0,1.0,1.5,1.0,1.0,6.0,0.0,0.0,0.0,0.0
alicia-mulliken,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
alicia-timoff,1.8,1.0,1.0,3.0,1.0,2.0,6.0,18.0,0.0,1.0,1.0,0.0
alina-smith,1.2,1.0,1.0,1.0,2.1,1.0,1.0,3.0,0.0,0.0,0.0,0.0
alisha-wexler,1.7,2.2,1.0,1.0,1.0,2.0,6.0,59.0,0.0,0.0,0.0,0.0
alison-arnold,1.5,1.9,1.0,3.6,1.0,1.0,8.0,47.0,0.0,7.0,6.0,0.0
alison-campbell,1.7,2.5,1.0,1.0,1.0,2.0,17.0,85.0,0.0,0.0,0.0,0.0
alison-deknis,3.0,3.0,1.0,4.8,2.1,3.0,14.0,139.0,0.0,4.0,1.0,0.0
alison-hui,1.5,1.0,1.0,1.0,1.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0
alison-johnston,2.0,1.1,1.0,1.0,1.0,3.0,4.0,20.0,0.0,0.0,0.0,0.0
aliza-janelle-pantoja,1.8,3.0,1.0,1.0,1.0,2.0,8.0,132.0,0.0,0.0,0.0,0.0
allMemberDirs.out,0,0,0,0,0,0,0,0,0,0,0,0
allampalli-prabhakar,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0
allan-edwards,1.2,2.4,1.0,1.0,1.0,1.0,7.0,74.0,0.0,0.0,0.0,0.0
allan-gardner-miles,1.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
allan-holender,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
allan-moult,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0
allan-nicholas,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
allegra-gordon,1.5,1.0,1.0,1.0,1.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0
allen-brooks,1.4,1.0,4.1,1.0,2.6,1.0,4.0,14.0,0.0,0.0,0.0,1.0
allen-exelby,1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,0.0,0.0,0.0,0.0
allen-hamilton,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
allen-hill,2.7,2.3,1.0,1.0,1.0,4.0,12.0,70.0,0.0,1.0,1.0,0.0
allen-jepson,1.0,1.0,1.0,1.0,1.2,1.0,2.0,10.0,0.0,0.0,0.0,0.0
allen-schultz,2.8,3.1,1.0,1.0,1.0,4.0,13.0,147.0,0.0,0.0,0.0,0.0
allena-hansen,2.8,2.5,1.0,4.0,1.8,3.0,14.0,83.0,2.0,19.0,14.0,0.0
allie-tomason,1.7,2.4,1.0,4.3,1.2,1.0,29.0,73.0,0.0,6.0,1.0,0.0
allison-balcerak,1.8,1.3,1.0,3.0,1.0,2.0,8.0,24.0,0.0,2.0,1.0,0.0
allison-chesneau,1.1,1.7,1.0,1.0,1.0,1.0,5.0,38.0,0.0,0.0,0.0,0.0
allison-dethomas,2.6,3.2,3.3,4.8,1.8,2.0,10.0,165.0,0.0,3.0,2.0,0.0
allison-diaz,2.0,1.0,3.3,3.2,1.5,2.0,3.0,9.0,0.0,4.0,2.0,0.0
allison-mcguffie,2.7,1.3,3.2,1.0,1.5,4.0,4.0,24.0,0.0,0.0,0.0,0.0
allison-robinson,1.5,1.0,1.0,1.0,1.0,2.0,3.0,15.0,0.0,0.0,0.0,0.0
allison-wong,2.7,2.8,1.0,4.0,1.0,3.0,11.0,109.0,0.0,1.0,1.0,0.0
allissa-richardson,3.5,1.8,4.3,4.0,2.9,4.0,4.0,39.0,0.0,2.0,2.0,0.0
allyson-smith,3.0,1.8,3.6,1.0,2.7,4.0,4.0,40.0,0.0,0.0,0.0,0.0
allyson-vogl,1.2,2.0,1.0,1.0,1.0,1.0,5.0,50.0,0.0,0.0,0.0,0.0
alphonse-charles,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0
altersportal,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0
